# removed from sbzr.extended.common.dict.yaml by optimize_dedup_scan.py --apply
# word	code	weight	original_lineno
斯蒂安	sidivj	614	2162
李嘉图	lijwtu	614	2163
闽福鼎	mnfudy	614	2166
会为什	hvwzsf	613	2184
西湖春	xihucp	613	2185
他就剩	tajqsg	612	2203
会赢吗	hvyyma	612	2204
对西安	dvxivj	612	2206
新家族	xnjwzu	612	2207
李华波	lihwbo	612	2208
米利安	milivj	612	2212
米利暗	milivj	612	2213
陈淑桦	cfsuhw	612	2214
不贪吃	butjci	611	2228
企鹅号	qivehk	611	2230
一纬路	yiwzlu	610	2248
业主卡	yezuka	610	2249
已看完	yikjwj	610	2250
自汗出	zihjcu	610	2251
装订吧	zddyba	610	2253
你剧中	nijuzs	609	2268
图利奥	tulivk	609	2270
你安利	nivjli	608	2286
十余只	siyuzi	608	2287
演戏啊	yjxiva	608	2290
收手时	sbsbsi	607	2302
班迪安	bjdivj	607	2305
顾雏军	gucujp	607	2307
博杜安	boduvj	606	2319
弹性啊	djxyva	606	2320
很儒雅	hfruya	606	2321
按理是	vjlisi	606	2322
海城站	hlcgzj	606	2324
西奥萨	xivksa	606	2327
该预案	glyuvj	606	2328
你熬夜	nivkye	605	2344
李健和	lijmhe	605	2345
松木山	ssmusj	605	2346
立案了	livjle	605	2347
不高冷	bugklg	604	2365
他憋得	tabxde	604	2366
会开枪	hvklqd	604	2367
店名啊	dmmyva	604	2371
志未酬	ziwzcb	604	2372
袁项城	yrxdcg	604	2375
但是恨	djsihf	603	2389
李林甫	lilnfu	603	2390
突然出	turjcu	602	2416
九五后	jqwuhb	601	2442
从诫你	csjxni	601	2443
立案数	livjsu	601	2446
会看出	hvkjcu	600	2459
你西安	nixivj	600	2460
十三处	sisjcu	600	2461
号昆仑	hkkplp	600	2462
楚世家	cusijw	600	2466
水里加	svlijw	600	2467
试验船	siyjcr	600	2470
进赋值	jnfuzi	600	2471
但互不	djhubu	599	2487
好难请	hknjqy	599	2489
李子君	lizijp	599	2491
连翘花	lmqchw	599	2493
出文化	cuwfhw	598	2514
压力盒	yalihe	598	2515
将胎儿	jdtlvr	598	2520
被消解	bzxcjx	598	2523
习奥会	xivkhv	597	2552
仅卖元	jnmlyr	597	2553
他组成	tazucg	597	2554
写一部	xxyibu	597	2556
毛装备	mkzdbz	597	2559
魏积安	wzjivj	597	2563
想请你	xdqyni	596	2584
机械币	jixxbi	596	2585
粮食啊	ldsiva	596	2586
自己按	zijivj	596	2587
这三步	zesjbu	596	2588
上海派	shhlpl	595	2605
救急啊	jqjiva	595	2609
易裂的	yilxde	595	2610
界限感	jxxmgj	595	2611
西奥斯	xivksi	595	2613
需肥量	xufzld	595	2614
剩余额	sgyuve	594	2636
哲理啊	zeliva	594	2637
这里啊	zeliva	594	2639
一块田	yikytm	593	2664
分为两	ffwzld	593	2665
